id,name,description,brand,price,rating,category
102,Adidas Shoes 102,Adidas stylish sneakers for casual wear,Adidas,2275,4.4,shoes
103,Reebok Shoes 103,Reebok gym training sneakers,Reebok,1288,4.8,shoes
104,Adidas Shoes 104,Adidas stylish sneakers for casual wear,Adidas,2369,2.9,shoes
105,Adidas Shoes 105,Adidas ultraboost running shoes,Adidas,2231,2.1,shoes
106,Nike Shoes 106,Nike lightweight training shoes,Nike,3604,3.0,shoes
107,Adidas Shoes 107,Adidas ultraboost running shoes,Adidas,4206,3.8,shoes
108,Puma Shoes 108,Puma training shoes for gym,Puma,904,1.3,shoes
109,Reebok Shoes 109,Reebok fitness shoes for workouts,Reebok,686,1.3,shoes
110,Reebok Shoes 110,Reebok fitness shoes for workouts,Reebok,636,3.8,shoes
111,Puma Shoes 111,Puma lightweight running shoes,Puma,1770,3.6,shoes
112,Nike Shoes 112,Nike lightweight training shoes,Nike,3355,3.9,shoes
113,Reebok Shoes 113,Reebok gym training sneakers,Reebok,4878,4.5,shoes
114,Puma Shoes 114,Puma sports shoes for daily use,Puma,1599,1.1,shoes
115,Adidas Shoes 115,Adidas ultraboost running shoes,Adidas,3852,4.8,shoes
116,Puma Shoes 116,Puma sports shoes for daily use,Puma,4115,4.7,shoes
117,Puma Shoes 117,Puma sports shoes for daily use,Puma,3818,3.1,shoes
118,Reebok Shoes 118,Reebok durable running shoes,Reebok,3628,4.4,shoes
119,Nike Shoes 119,Nike running shoes for athletes,Nike,4948,4.1,shoes
120,Puma Shoes 120,Puma lightweight running shoes,Puma,3389,3.7,shoes
121,Adidas Shoes 121,Adidas stylish sneakers for casual wear,Adidas,4110,2.2,shoes
122,Adidas Shoes 122,Adidas ultraboost running shoes,Adidas,1279,3.6,shoes
123,Adidas Shoes 123,Adidas stylish sneakers for casual wear,Adidas,2718,4.3,shoes
124,Puma Shoes 124,Puma lightweight running shoes,Puma,4570,2.3,shoes
125,Reebok Shoes 125,Reebok durable running shoes,Reebok,3850,2.4,shoes
126,Adidas Shoes 126,Adidas stylish sneakers for casual wear,Adidas,3497,2.2,shoes
127,Adidas Shoes 127,Adidas comfortable street shoes,Adidas,1597,3.5,shoes
128,Adidas Shoes 128,Adidas ultraboost running shoes,Adidas,2635,4.8,shoes
129,Puma Shoes 129,Puma training shoes for gym,Puma,2068,2.9,shoes
130,Adidas Shoes 130,Adidas stylish sneakers for casual wear,Adidas,4852,2.6,shoes
131,Nike Shoes 131,Nike sports shoes for high performance,Nike,2841,3.4,shoes
132,Nike Shoes 132,Nike sports shoes for high performance,Nike,4659,3.3,shoes
133,Puma Shoes 133,Puma sports shoes for daily use,Puma,1242,3.7,shoes
134,Adidas Shoes 134,Adidas ultraboost running shoes,Adidas,989,2.6,shoes
135,Nike Shoes 135,Nike running shoes for athletes,Nike,2254,3.1,shoes
136,Puma Shoes 136,Puma training shoes for gym,Puma,3673,1.8,shoes
137,Nike Shoes 137,Nike running shoes for athletes,Nike,4868,2.9,shoes
138,Puma Shoes 138,Puma training shoes for gym,Puma,4622,4.6,shoes
139,Puma Shoes 139,Puma lightweight running shoes,Puma,1207,1.1,shoes
140,Puma Shoes 140,Puma sports shoes for daily use,Puma,712,3.8,shoes
141,Puma Shoes 141,Puma training shoes for gym,Puma,3412,3.4,shoes
142,Adidas Shoes 142,Adidas comfortable street shoes,Adidas,2512,1.3,shoes
143,Reebok Shoes 143,Reebok fitness shoes for workouts,Reebok,1129,3.5,shoes
144,Nike Shoes 144,Nike sports shoes for high performance,Nike,4314,1.1,shoes
145,Puma Shoes 145,Puma sports shoes for daily use,Puma,1607,3.0,shoes
146,Adidas Shoes 146,Adidas ultraboost running shoes,Adidas,3402,2.7,shoes
147,Adidas Shoes 147,Adidas comfortable street shoes,Adidas,1495,3.8,shoes
148,Nike Shoes 148,Nike running shoes for athletes,Nike,1639,2.7,shoes
149,Nike Shoes 149,Nike running shoes for athletes,Nike,2815,4.6,shoes
150,Reebok Shoes 150,Reebok gym training sneakers,Reebok,3486,3.8,shoes
151,Reebok Shoes 151,Reebok durable running shoes,Reebok,3880,1.5,shoes
152,Reebok Shoes 152,Reebok gym training sneakers,Reebok,2588,4.3,shoes
153,Puma Shoes 153,Puma training shoes for gym,Puma,893,1.8,shoes
154,Puma Shoes 154,Puma sports shoes for daily use,Puma,3110,3.0,shoes
155,Adidas Shoes 155,Adidas comfortable street shoes,Adidas,2671,1.3,shoes
156,Adidas Shoes 156,Adidas stylish sneakers for casual wear,Adidas,3014,1.4,shoes
157,Puma Shoes 157,Puma sports shoes for daily use,Puma,1974,4.9,shoes
158,Puma Shoes 158,Puma lightweight running shoes,Puma,4957,3.3,shoes
159,Reebok Shoes 159,Reebok fitness shoes for workouts,Reebok,2865,3.9,shoes
160,Puma Shoes 160,Puma sports shoes for daily use,Puma,3283,3.1,shoes
161,Nike Shoes 161,Nike lightweight training shoes,Nike,2310,1.7,shoes
162,Puma Shoes 162,Puma training shoes for gym,Puma,4929,1.1,shoes
163,Nike Shoes 163,Nike sports shoes for high performance,Nike,730,1.5,shoes
164,Nike Shoes 164,Nike sports shoes for high performance,Nike,1325,2.2,shoes
165,Nike Shoes 165,Nike sports shoes for high performance,Nike,2478,4.8,shoes
166,Puma Shoes 166,Puma sports shoes for daily use,Puma,1043,3.1,shoes
167,Adidas Shoes 167,Adidas stylish sneakers for casual wear,Adidas,4952,4.7,shoes
168,Reebok Shoes 168,Reebok gym training sneakers,Reebok,3894,3.2,shoes
169,Adidas Shoes 169,Adidas ultraboost running shoes,Adidas,3525,1.7,shoes
170,Adidas Shoes 170,Adidas stylish sneakers for casual wear,Adidas,568,1.1,shoes
171,Reebok Shoes 171,Reebok fitness shoes for workouts,Reebok,3840,2.7,shoes
172,Puma Shoes 172,Puma training shoes for gym,Puma,1347,1.2,shoes
173,Adidas Shoes 173,Adidas stylish sneakers for casual wear,Adidas,1946,4.5,shoes
174,Nike Shoes 174,Nike lightweight training shoes,Nike,4907,2.3,shoes
175,Reebok Shoes 175,Reebok fitness shoes for workouts,Reebok,3662,2.0,shoes
176,Adidas Shoes 176,Adidas ultraboost running shoes,Adidas,3875,2.6,shoes
177,Reebok Shoes 177,Reebok fitness shoes for workouts,Reebok,2075,4.1,shoes
178,Adidas Shoes 178,Adidas comfortable street shoes,Adidas,706,1.7,shoes
179,Nike Shoes 179,Nike running shoes for athletes,Nike,4988,2.2,shoes
180,Puma Shoes 180,Puma lightweight running shoes,Puma,1405,3.9,shoes
181,Adidas Shoes 181,Adidas ultraboost running shoes,Adidas,3514,4.4,shoes
182,Puma Shoes 182,Puma training shoes for gym,Puma,1710,2.4,shoes
183,Adidas Shoes 183,Adidas comfortable street shoes,Adidas,999,2.5,shoes
184,Nike Shoes 184,Nike running shoes for athletes,Nike,4050,1.1,shoes
185,Puma Shoes 185,Puma lightweight running shoes,Puma,3878,2.2,shoes
186,Nike Shoes 186,Nike lightweight training shoes,Nike,3826,3.0,shoes
187,Reebok Shoes 187,Reebok gym training sneakers,Reebok,1371,4.7,shoes
188,Adidas Shoes 188,Adidas stylish sneakers for casual wear,Adidas,2121,1.4,shoes
189,Reebok Shoes 189,Reebok fitness shoes for workouts,Reebok,1502,3.1,shoes
190,Reebok Shoes 190,Reebok fitness shoes for workouts,Reebok,1872,1.9,shoes
191,Nike Shoes 191,Nike lightweight training shoes,Nike,4225,1.6,shoes
192,Adidas Shoes 192,Adidas ultraboost running shoes,Adidas,3576,1.8,shoes
193,Nike Shoes 193,Nike lightweight training shoes,Nike,3811,2.8,shoes
194,Nike Shoes 194,Nike sports shoes for high performance,Nike,1694,2.5,shoes
195,Puma Shoes 195,Puma sports shoes for daily use,Puma,4685,3.0,shoes
196,Nike Shoes 196,Nike running shoes for athletes,Nike,1920,4.4,shoes
197,Adidas Shoes 197,Adidas comfortable street shoes,Adidas,4866,3.8,shoes
198,Reebok Shoes 198,Reebok durable running shoes,Reebok,2564,4.8,shoes
199,Reebok Shoes 199,Reebok fitness shoes for workouts,Reebok,4802,4.4,shoes
200,Reebok Shoes 200,Reebok durable running shoes,Reebok,2942,4.8,shoes
201,Nike Shoes 201,Nike lightweight training shoes,Nike,1732,2.0,shoes
202,Nike Shoes 202,Nike sports shoes for high performance,Nike,4222,3.3,shoes
203,Reebok Shoes 203,Reebok gym training sneakers,Reebok,3202,2.9,shoes
204,Reebok Shoes 204,Reebok fitness shoes for workouts,Reebok,1349,2.2,shoes
205,Puma Shoes 205,Puma training shoes for gym,Puma,1489,1.5,shoes
206,Puma Shoes 206,Puma sports shoes for daily use,Puma,2324,2.1,shoes
207,Puma Shoes 207,Puma sports shoes for daily use,Puma,502,3.7,shoes
208,Nike Shoes 208,Nike lightweight training shoes,Nike,2053,4.3,shoes
209,Adidas Shoes 209,Adidas comfortable street shoes,Adidas,2926,1.9,shoes
210,Adidas Shoes 210,Adidas stylish sneakers for casual wear,Adidas,1938,3.4,shoes
211,Reebok Shoes 211,Reebok durable running shoes,Reebok,1295,1.1,shoes
212,Nike Shoes 212,Nike lightweight training shoes,Nike,3874,3.1,shoes
213,Adidas Shoes 213,Adidas stylish sneakers for casual wear,Adidas,907,3.1,shoes
214,Adidas Shoes 214,Adidas comfortable street shoes,Adidas,1522,4.6,shoes
215,Reebok Shoes 215,Reebok fitness shoes for workouts,Reebok,2963,2.3,shoes
216,Puma Shoes 216,Puma training shoes for gym,Puma,1134,3.0,shoes
217,Adidas Shoes 217,Adidas stylish sneakers for casual wear,Adidas,2418,4.7,shoes
218,Puma Shoes 218,Puma lightweight running shoes,Puma,3179,5.0,shoes
219,Nike Shoes 219,Nike sports shoes for high performance,Nike,4525,3.5,shoes
220,Nike Shoes 220,Nike running shoes for athletes,Nike,1795,2.2,shoes
221,Adidas Shoes 221,Adidas stylish sneakers for casual wear,Adidas,1043,4.5,shoes
222,Nike Shoes 222,Nike running shoes for athletes,Nike,4446,1.8,shoes
223,Puma Shoes 223,Puma training shoes for gym,Puma,2971,1.1,shoes
224,Reebok Shoes 224,Reebok durable running shoes,Reebok,2501,3.2,shoes
225,Nike Shoes 225,Nike running shoes for athletes,Nike,1368,1.6,shoes
226,Puma Shoes 226,Puma lightweight running shoes,Puma,3491,4.4,shoes
227,Puma Shoes 227,Puma training shoes for gym,Puma,2397,1.9,shoes
228,Nike Shoes 228,Nike lightweight training shoes,Nike,1389,4.1,shoes
229,Puma Shoes 229,Puma sports shoes for daily use,Puma,4940,3.3,shoes
230,Puma Shoes 230,Puma sports shoes for daily use,Puma,1852,2.4,shoes
231,Adidas Shoes 231,Adidas ultraboost running shoes,Adidas,1224,3.6,shoes
232,Nike Shoes 232,Nike running shoes for athletes,Nike,585,1.4,shoes
233,Nike Shoes 233,Nike running shoes for athletes,Nike,4225,1.4,shoes
234,Puma Shoes 234,Puma sports shoes for daily use,Puma,2247,3.7,shoes
235,Adidas Shoes 235,Adidas comfortable street shoes,Adidas,4201,2.0,shoes
236,Reebok Shoes 236,Reebok gym training sneakers,Reebok,545,4.3,shoes
237,Nike Shoes 237,Nike lightweight training shoes,Nike,3062,4.0,shoes
238,Nike Shoes 238,Nike running shoes for athletes,Nike,1192,4.4,shoes
239,Adidas Shoes 239,Adidas ultraboost running shoes,Adidas,4991,1.0,shoes
240,Nike Shoes 240,Nike sports shoes for high performance,Nike,3910,4.8,shoes
241,Puma Shoes 241,Puma sports shoes for daily use,Puma,2847,5.0,shoes
242,Adidas Shoes 242,Adidas stylish sneakers for casual wear,Adidas,4422,3.2,shoes
243,Nike Shoes 243,Nike lightweight training shoes,Nike,2681,3.0,shoes
244,Reebok Shoes 244,Reebok gym training sneakers,Reebok,2047,4.9,shoes
245,Reebok Shoes 245,Reebok fitness shoes for workouts,Reebok,4416,1.5,shoes
246,Adidas Shoes 246,Adidas ultraboost running shoes,Adidas,2052,4.4,shoes
247,Reebok Shoes 247,Reebok durable running shoes,Reebok,1661,1.9,shoes
248,Adidas Shoes 248,Adidas stylish sneakers for casual wear,Adidas,3350,1.8,shoes
249,Nike Shoes 249,Nike lightweight training shoes,Nike,4978,1.9,shoes
250,Adidas Shoes 250,Adidas comfortable street shoes,Adidas,3268,1.3,shoes
251,Nike Shoes 251,Nike running shoes for athletes,Nike,1001,1.7,shoes
252,Puma Shoes 252,Puma sports shoes for daily use,Puma,747,2.0,shoes
253,Nike Shoes 253,Nike running shoes for athletes,Nike,1251,1.6,shoes
254,Adidas Shoes 254,Adidas comfortable street shoes,Adidas,3688,4.3,shoes
255,Puma Shoes 255,Puma sports shoes for daily use,Puma,2040,1.5,shoes
256,Puma Shoes 256,Puma lightweight running shoes,Puma,4696,3.4,shoes
257,Puma Shoes 257,Puma sports shoes for daily use,Puma,3453,3.4,shoes
258,Reebok Shoes 258,Reebok durable running shoes,Reebok,2088,2.1,shoes
259,Adidas Shoes 259,Adidas comfortable street shoes,Adidas,3402,4.4,shoes
260,Nike Shoes 260,Nike lightweight training shoes,Nike,1425,4.5,shoes
261,Adidas Shoes 261,Adidas comfortable street shoes,Adidas,2775,2.6,shoes
262,Reebok Shoes 262,Reebok durable running shoes,Reebok,4105,4.2,shoes
263,Adidas Shoes 263,Adidas ultraboost running shoes,Adidas,3746,2.1,shoes
264,Puma Shoes 264,Puma sports shoes for daily use,Puma,1741,4.8,shoes
265,Nike Shoes 265,Nike running shoes for athletes,Nike,1140,4.2,shoes
266,Reebok Shoes 266,Reebok durable running shoes,Reebok,2588,3.6,shoes
267,Reebok Shoes 267,Reebok fitness shoes for workouts,Reebok,698,4.3,shoes
268,Adidas Shoes 268,Adidas stylish sneakers for casual wear,Adidas,3208,1.3,shoes
269,Puma Shoes 269,Puma sports shoes for daily use,Puma,515,2.6,shoes
270,Puma Shoes 270,Puma sports shoes for daily use,Puma,2023,1.9,shoes
271,Puma Shoes 271,Puma sports shoes for daily use,Puma,1557,3.9,shoes
272,Reebok Shoes 272,Reebok fitness shoes for workouts,Reebok,4319,4.1,shoes
273,Reebok Shoes 273,Reebok gym training sneakers,Reebok,2982,3.9,shoes
274,Adidas Shoes 274,Adidas ultraboost running shoes,Adidas,3871,1.5,shoes
275,Reebok Shoes 275,Reebok gym training sneakers,Reebok,1011,3.4,shoes
276,Adidas Shoes 276,Adidas stylish sneakers for casual wear,Adidas,3058,4.9,shoes
277,Puma Shoes 277,Puma lightweight running shoes,Puma,1321,3.7,shoes
278,Nike Shoes 278,Nike running shoes for athletes,Nike,2043,3.0,shoes
279,Nike Shoes 279,Nike running shoes for athletes,Nike,1410,2.9,shoes
280,Puma Shoes 280,Puma sports shoes for daily use,Puma,878,1.8,shoes
281,Puma Shoes 281,Puma sports shoes for daily use,Puma,4937,1.2,shoes
282,Nike Shoes 282,Nike lightweight training shoes,Nike,825,2.3,shoes
283,Nike Shoes 283,Nike lightweight training shoes,Nike,1986,2.6,shoes
284,Reebok Shoes 284,Reebok fitness shoes for workouts,Reebok,1059,3.5,shoes
285,Nike Shoes 285,Nike running shoes for athletes,Nike,4997,2.3,shoes
286,Nike Shoes 286,Nike sports shoes for high performance,Nike,1589,2.3,shoes
287,Nike Shoes 287,Nike sports shoes for high performance,Nike,3103,2.1,shoes
288,Nike Shoes 288,Nike lightweight training shoes,Nike,3480,1.3,shoes
289,Puma Shoes 289,Puma lightweight running shoes,Puma,2264,3.0,shoes
290,Puma Shoes 290,Puma sports shoes for daily use,Puma,2162,1.3,shoes
291,Reebok Shoes 291,Reebok gym training sneakers,Reebok,1841,3.8,shoes
292,Nike Shoes 292,Nike lightweight training shoes,Nike,3259,2.9,shoes
293,Puma Shoes 293,Puma lightweight running shoes,Puma,4803,2.6,shoes
294,Adidas Shoes 294,Adidas stylish sneakers for casual wear,Adidas,3712,2.6,shoes
295,Puma Shoes 295,Puma training shoes for gym,Puma,3733,4.3,shoes
296,Reebok Shoes 296,Reebok durable running shoes,Reebok,4400,1.1,shoes
297,Puma Shoes 297,Puma training shoes for gym,Puma,1282,4.3,shoes
298,Nike Shoes 298,Nike lightweight training shoes,Nike,1923,1.4,shoes
299,Reebok Shoes 299,Reebok gym training sneakers,Reebok,940,3.1,shoes
300,Nike Shoes 300,Nike lightweight training shoes,Nike,2843,4.9,shoes
301,Adidas Shoes 301,Adidas ultraboost running shoes,Adidas,4043,4.6,shoes
302,Puma Shoes 302,Puma lightweight running shoes,Puma,2874,3.1,shoes
303,Reebok Shoes 303,Reebok gym training sneakers,Reebok,3097,5.0,shoes
304,Adidas Shoes 304,Adidas ultraboost running shoes,Adidas,701,4.3,shoes
305,Nike Shoes 305,Nike sports shoes for high performance,Nike,695,3.2,shoes
306,Adidas Shoes 306,Adidas ultraboost running shoes,Adidas,4059,3.3,shoes
307,Adidas Shoes 307,Adidas ultraboost running shoes,Adidas,3733,3.0,shoes
308,Reebok Shoes 308,Reebok gym training sneakers,Reebok,2654,4.0,shoes
309,Reebok Shoes 309,Reebok durable running shoes,Reebok,2574,2.6,shoes
310,Adidas Shoes 310,Adidas stylish sneakers for casual wear,Adidas,3572,4.0,shoes
311,Nike Shoes 311,Nike running shoes for athletes,Nike,3314,3.7,shoes
312,Nike Shoes 312,Nike lightweight training shoes,Nike,1057,2.4,shoes
313,Adidas Shoes 313,Adidas stylish sneakers for casual wear,Adidas,2132,3.6,shoes
314,Reebok Shoes 314,Reebok fitness shoes for workouts,Reebok,532,1.1,shoes
315,Puma Shoes 315,Puma sports shoes for daily use,Puma,4631,3.8,shoes
316,Adidas Shoes 316,Adidas ultraboost running shoes,Adidas,3093,4.6,shoes
317,Reebok Shoes 317,Reebok gym training sneakers,Reebok,1447,3.9,shoes
318,Adidas Shoes 318,Adidas comfortable street shoes,Adidas,799,3.1,shoes
319,Nike Shoes 319,Nike lightweight training shoes,Nike,1314,4.7,shoes
320,Puma Shoes 320,Puma training shoes for gym,Puma,4389,3.0,shoes
321,Reebok Shoes 321,Reebok durable running shoes,Reebok,2252,1.0,shoes
322,Adidas Shoes 322,Adidas comfortable street shoes,Adidas,1086,1.0,shoes
323,Adidas Shoes 323,Adidas stylish sneakers for casual wear,Adidas,2595,2.6,shoes
324,Adidas Shoes 324,Adidas comfortable street shoes,Adidas,1285,3.9,shoes
325,Reebok Shoes 325,Reebok durable running shoes,Reebok,4401,4.0,shoes
326,Adidas Shoes 326,Adidas ultraboost running shoes,Adidas,2117,1.4,shoes
327,Puma Shoes 327,Puma sports shoes for daily use,Puma,536,3.9,shoes
328,Reebok Shoes 328,Reebok durable running shoes,Reebok,2960,2.3,shoes
329,Reebok Shoes 329,Reebok durable running shoes,Reebok,2633,1.3,shoes
330,Adidas Shoes 330,Adidas comfortable street shoes,Adidas,1825,1.8,shoes
331,Puma Shoes 331,Puma sports shoes for daily use,Puma,2749,2.9,shoes
332,Reebok Shoes 332,Reebok fitness shoes for workouts,Reebok,4251,2.3,shoes
333,Reebok Shoes 333,Reebok gym training sneakers,Reebok,3709,3.3,shoes
334,Adidas Shoes 334,Adidas ultraboost running shoes,Adidas,1574,3.5,shoes
335,Reebok Shoes 335,Reebok fitness shoes for workouts,Reebok,1758,4.3,shoes
336,Nike Shoes 336,Nike running shoes for athletes,Nike,1568,3.7,shoes
337,Puma Shoes 337,Puma sports shoes for daily use,Puma,3153,3.6,shoes
338,Puma Shoes 338,Puma lightweight running shoes,Puma,3096,2.0,shoes
339,Adidas Shoes 339,Adidas comfortable street shoes,Adidas,2621,4.9,shoes
